BreedID,Breeds, Adaptability,Physical Needs,All Around Friendliness,Health Grooming,Trainability,Size
0,Affenpinscher,3,4,3,2,3,1
1,Afghan Hound,4,4,4,2,3,4
2,Airedale Terrier,2,5,4,2,5,3
3,Akita,3,4,2,4,4,4
4,Alaskan Klee Kai,3,4,3,3,4,2
5,Alaskan Malamute,2,5,4,3,4,4
6,American Bulldog,2,4,3,3,3,4
7,American English Coonhound,3,5,5,3,5,3
8,American Eskimo Dog,4,4,5,4,4,2
9,American Foxhound,2,5,5,4,4,3
10,American Pit Bull Terrier,3,5,4,3,4,3
11,American Staffordshire Terrier,2,4,4,3,4,3
12,American Water Spaniel,3,4,4,3,4,3
13,Anatolian Shepherd Dog,3,3,2,3,3,5
14,Appenzeller Sennenhunde,3,4,4,3,4,3
15,Australian Cattle Dog,3,5,4,3,4,3
16,Australian Kelpie,3,4,3,3,5,3
17,Australian Shepherd,3,5,4,2,5,3
18,Australian Terrier,3,5,3,3,4,1
19,Azawakh,3,3,3,3,3,3
20,Barbet,3,4,4,2,3,3
21,Basenji,4,3,5,3,4,2
22,Basset Hound,3,2,5,4,4,2
23,Beagle,3,5,5,3,4,2
24,Bearded Collie,3,4,5,3,4,3
25,Bedlington Terrier,4,4,5,3,4,3
26,Belgian Malinois,3,5,4,3,4,4
27,Belgian Sheepdog,4,5,5,3,4,4
28,Belgian Tervuren,3,4,3,3,4,4
29,Berger Picard,4,5,4,4,3,4
30,Bernedoodle,3,4,4,3,4,3
31,Bernese Mountain Dog,2,4,5,3,4,5
32,Bichon Frise,4,4,5,2,3,2
33,Black Mouth Cur,3,4,4,3,4,4
34,Black Russian Terrier,3,5,4,3,4,5
35,Black and Tan Coonhound,3,5,5,4,4,3
36,Bloodhound,3,4,5,3,4,4
37,Blue Lacy,3,5,3,3,5,3
38,Bluetick Coonhound,3,5,4,3,4,3
39,Boerboel,2,4,3,4,3,5
40,Bolognese,3,3,5,2,4,1
41,Border Collie,3,5,4,2,4,3
42,Border Terrier,3,5,4,3,4,2
43,Borzoi,4,2,4,3,4,5
44,Boston Terrier,4,5,5,3,3,2
45,Bouvier des Flandres,3,4,4,2,3,4
46,Boxer,3,5,4,3,3,3
47,Boykin Spaniel,3,5,4,2,4,3
48,Bracco Italiano,3,4,4,3,3,4
49,Briard,3,4,4,2,4,4
50,Brittany,3,5,5,4,4,3
51,Brussels Griffon,3,4,3,3,3,1
52,Bull Terrier,3,5,5,4,4,2
53,Bulldog,3,3,4,4,2,2
54,Bullmastiff,3,4,4,4,3,5
55,Cairn Terrier,4,5,5,3,4,1
56,Canaan Dog,4,4,3,3,3,3
57,Cane Corso,2,4,3,4,4,4
58,Cardigan Welsh Corgi,4,3,4,3,3,2
59,Catahoula Leopard Dog,2,4,3,3,3,4
60,Caucasian Shepherd Dog,3,3,3,3,3,5
61,Cavalier King Charles Spaniel,4,4,5,3,3,2
62,Cesky Terrier,4,3,3,3,3,2
63,Chesapeake Bay Retriever,3,5,3,4,3,3
64,Chihuahua,3,3,4,3,3,1
65,Chinese Crested,3,2,4,2,3,2
66,Chinese Shar-Pei,3,2,2,3,3,3
67,Chinook,3,3,5,3,3,4
68,Chow Chow,3,2,1,2,2,4
69,Clumber Spaniel,4,3,4,4,4,3
70,Cockapoo,4,4,5,2,3,2
71,Cocker Spaniel,4,3,4,3,4,2
72,Collie,4,3,5,3,3,3
73,Coton de Tulear,4,3,5,2,3,1
74,Curly-Coated Retriever,3,4,4,3,4,3
75,Dachshund,3,3,3,3,4,1
76,Dalmatian,3,5,4,4,3,3
77,Dandie Dinmont Terrier,3,3,4,3,3,1
78,Doberman Pinscher,3,4,3,3,3,4
79,Dogo Argentino,2,4,3,3,3,4
80,Dogue de Bordeaux,3,3,3,4,3,4
81,Dutch Shepherd,3,4,4,3,3,3
82,English Cocker Spaniel,4,4,5,3,4,2
83,English Foxhound,3,5,4,3,4,3
84,English Setter,3,4,5,3,4,3
85,English Springer Spaniel,3,5,5,2,4,3
86,English Toy Spaniel,3,3,4,3,3,2
87,Entlebucher Mountain Dog,3,5,4,3,4,3
88,Field Spaniel,3,5,5,3,4,2
89,Finnish Lapphund,4,5,5,3,4,3
90,Finnish Spitz,3,5,5,3,4,3
91,Flat-Coated Retriever,3,5,5,3,4,3
92,Fox Terrier,3,5,4,2,4,2
93,French Bulldog,3,4,4,3,3,2
94,German Pinscher,3,5,3,3,4,3
95,German Shepherd Dog,3,5,4,3,4,4
96,German Shorthaired Pointer,2,5,4,3,5,3
97,German Wirehaired Pointer,3,5,3,3,4,4
98,Giant Schnauzer,2,4,3,3,4,4
99,Glen of Imaal Terrier,3,4,4,3,4,1
100,Goldador,4,5,5,3,3,4
101,Golden Retriever,3,4,5,4,4,3
102,Goldendoodle,3,4,5,3,3,4
103,Gordon Setter,3,4,3,3,4,3
104,Great Dane,2,5,5,4,3,5
105,Great Pyrenees,3,5,4,3,4,5
106,Greater Swiss Mountain Dog,3,4,5,3,3,5
107,Greyhound,3,4,5,5,4,4
108,Harrier,3,5,5,3,4,3
109,Havanese,4,3,5,2,3,2
110,Ibizan Hound,3,5,5,3,4,3
111,Icelandic Sheepdog,3,4,3,3,3,3
112,Irish Red and White Setter,3,5,4,2,4,3
113,Irish Setter,3,5,5,3,5,4
114,Irish Terrier,3,5,4,3,3,3
115,Irish Water Spaniel,3,4,5,2,4,3
116,Irish Wolfhound,2,3,5,2,3,5
117,Italian Greyhound,3,4,5,3,4,2
118,Jack Russell Terrier,3,5,5,3,4,2
119,Japanese Chin,3,2,3,3,3,1
120,Japanese Spitz,3,3,4,3,3,2
121,Karelian Bear Dog,3,4,3,3,4,3
122,Keeshond,4,4,5,3,3,3
123,Kerry Blue Terrier,3,4,4,2,4,3
124,Komondor,3,3,3,2,4,4
125,Kooikerhondje,3,5,2,3,3,3
126,Kuvasz,3,4,2,4,2,5
127,Labradoodle,4,5,5,3,3,4
128,Labrador Retriever,3,5,5,4,4,4
129,Lagotto Romagnolo,3,4,3,2,3,2
130,Lakeland Terrier,3,4,4,3,3,2
131,Lancashire Heeler,3,4,3,3,3,1
132,Leonberger,2,4,4,3,3,5
133,Lhasa Apso,4,4,3,2,3,1
134,Lowchen,3,4,5,3,4,1
135,Maltese,3,3,4,2,3,1
136,Maltese Shih Tzu,3,3,3,2,4,1
137,Maltipoo,4,3,4,2,4,2
138,Manchester Terrier,3,4,3,3,3,2
139,Mastiff,2,4,4,4,2,5
140,Miniature Pinscher,3,4,3,3,3,1
141,Miniature Schnauzer,4,4,4,2,4,2
142,Mudi,3,4,3,3,4,2
143,Neapolitan Mastiff,2,3,3,4,2,5
144,Newfoundland,3,3,5,3,4,5
145,Norfolk Terrier,4,4,5,3,3,1
146,Norwegian Buhund,3,5,4,3,3,3
147,Norwegian Elkhound,4,4,4,3,4,3
148,Norwegian Lundehund,3,5,5,3,3,3
149,Norwich Terrier,4,5,5,3,4,1
150,Nova Scotia Duck Tolling Retriever,4,5,5,3,4,3
151,Old English Sheepdog,4,4,4,3,3,4
152,Otterhound,3,5,5,3,4,4
153,Papillon,3,4,4,2,3,1
154,Peekapoo,4,3,4,2,3,1
155,Pekingese,3,2,3,2,4,1
156,Pembroke Welsh Corgi,4,4,4,3,3,2
157,Petit Basset Griffon Vendeen,3,5,5,3,4,2
158,Pharaoh Hound,4,3,5,3,4,3
159,Plott,2,4,4,3,4,3
160,Pocket Beagle,3,4,5,3,4,2
161,Pointer,2,5,5,3,5,3
162,Polish Lowland Sheepdog,4,4,4,2,3,3
163,Pomeranian,3,3,3,3,3,1
164,Pomsky,3,3,3,3,4,2
165,Poodle,4,4,5,2,4,4
166,Portuguese Water Dog,3,5,5,2,4,3
167,Pug,3,4,4,3,2,2
168,Puggle,4,3,5,4,3,2
169,Puli,3,5,4,2,4,3
170,Pyrenean Shepherd,3,5,4,2,3,2
171,Rat Terrier,3,5,4,3,3,1
172,Redbone Coonhound,3,5,4,3,4,3
173,Rhodesian Ridgeback,3,5,4,3,3,4
174,Rottweiler,2,4,4,4,4,3
175,Saint Bernard,3,3,5,3,2,5
176,Saluki,2,4,4,2,4,4
177,Samoyed,3,4,5,3,4,3
178,Schipperke,3,5,3,4,3,1
179,Schnoodle,3,4,4,3,3,4
180,Scottish Deerhound,3,5,4,3,3,5
181,Scottish Terrier,3,4,4,2,3,2
182,Sealyham Terrier,4,4,4,3,3,2
183,Shetland Sheepdog,3,4,5,3,3,1
184,Shiba Inu,4,3,3,3,4,2
185,Shih Tzu,3,3,5,2,3,1
186,Siberian Husky,3,5,5,3,4,3
187,Silken Windhound,4,4,4,3,4,3
188,Silky Terrier,3,4,3,3,4,1
189,Skye Terrier,4,4,4,3,4,2
190,Sloughi,3,4,4,3,3,4
191,Small Munsterlander Pointer,3,5,5,3,4,3
192,Soft Coated Wheaten Terrier,3,4,5,3,3,3
193,Stabyhoun,3,4,4,3,4,3
194,Staffordshire Bull Terrier,2,4,4,4,3,2
195,Standard Schnauzer,3,5,3,2,4,3
196,Sussex Spaniel,4,2,5,3,3,2
197,Swedish Vallhund,3,5,4,4,3,3
198,Tibetan Mastiff,3,3,4,3,3,5
199,Tibetan Spaniel,3,4,4,3,4,1
200,Tibetan Terrier,4,5,4,2,3,2
201,Toy Fox Terrier,3,5,4,3,4,1
202,Treeing Tennessee Brindle,2,4,4,4,3,3
203,Treeing Walker Coonhound,3,4,4,3,4,4
204,Vizsla,3,5,5,3,4,3
205,Weimaraner,3,5,4,4,4,4
206,Welsh Springer Spaniel,4,5,4,3,4,3
207,Welsh Terrier,3,5,5,3,4,2
208,West Highland White Terrier,4,4,4,3,4,2
209,Whippet,3,4,5,3,4,3
210,Wirehaired Pointing Griffon,3,4,5,2,4,3
211,Yorkipoo,4,4,4,2,4,1
212,Yorkshire Terrier,3,5,3,2,3,1
,Yorkshire Terrier,3,5,3,2,3,1
